variable_0,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,State,ID,target
135,3.67,9.51,0,0,13.6,24.5,249.8,3,21.23,144.1,0,211.4,68,115,82,510,1,KY,69,0
143,2.11,8.01,22,0,7.8,24.11,167.3,3,14.22,141.8,1,178.1,99,116,130,408,1,MT,70,0
54,2.73,8.5,0,1,10.1,36.4,240.5,3,20.44,214.1,0,188.9,94,77,75,415,1,DE,71,0
146,2.89,9.83,0,0,10.7,19.65,213.6,6,18.16,115.6,0,218.4,100,77,72,510,1,NH,72,0
87,2.3,9.36,22,0,8.5,44.85,103.4,3,8.79,263.8,1,208.1,115,65,109,415,3,WY,73,0
105,2.57,8.09,0,0,9.5,36.28,204.9,6,17.42,213.4,0,179.7,52,100,93,408,1,CT,74,0
117,3.19,12.06,25,0,11.8,36.72,224.1,4,19.05,216.0,1,267.9,69,140,112,510,0,KS,75,0
53,3.48,11.53,0,0,12.9,20.35,189.7,7,16.12,119.7,0,256.2,84,113,108,415,2,TX,76,0
155,2.24,6.59,0,0,8.3,44.61,194.6,6,16.54,262.4,0,146.5,113,55,85,408,2,NC,77,0
101,3.65,12.52,0,0,13.5,40.63,273.0,8,23.21,239.0,0,278.2,106,156,93,408,1,MS,78,1
41,3.0,11.79,0,0,11.1,27.08,125.9,5,10.7,159.3,0,261.9,75,66,76,415,1,AK,79,0
115,2.84,10.32,14,0,10.5,32.69,88.7,3,7.54,192.3,1,229.4,90,86,120,510,2,AL,80,0
77,2.73,7.84,24,0,10.1,25.4,123.9,6,10.53,149.4,1,174.3,72,74,84,510,1,PA,81,0
87,3.51,3.05,0,0,13.0,39.32,171.7,6,14.59,231.3,0,67.7,108,105,136,510,1,IL,82,0
125,2.16,8.95,0,0,8.0,38.23,143.8,2,12.22,224.9,0,198.9,87,102,105,415,0,MD,83,0
62,2.75,10.41,42,0,10.2,23.34,184.2,3,15.66,137.3,1,231.4,94,95,70,408,0,AZ,84,0
114,3.83,8.26,36,0,14.2,52.68,200.3,2,17.03,309.9,1,183.5,89,90,105,415,1,SD,85,0
68,3.08,9.46,0,0,11.4,27.12,240.8,3,20.47,159.5,0,210.3,93,123,76,510,1,KS,86,0
158,1.73,10.5,0,0,6.4,37.55,242.2,5,20.59,220.9,0,233.3,108,129,75,510,0,RI,87,0
82,2.89,7.86,0,0,10.7,45.08,178.7,9,15.19,265.2,0,174.7,102,122,90,510,2,WA,88,0
137,2.75,7.77,0,0,10.2,25.02,192.8,4,16.39,147.2,0,172.7,91,119,105,510,1,MS,89,0
124,2.4,10.42,37,0,8.9,27.4,204.2,4,17.36,161.2,1,231.5,79,109,87,510,1,KS,90,0
99,2.08,10.53,31,0,7.7,41.5,203.4,4,17.29,244.1,1,234.0,58,71,115,415,3,DC,91,0
63,3.29,11.88,33,0,12.2,31.31,312.6,4,26.57,184.2,1,264.0,89,111,55,415,1,MT,92,0
147,3.89,9.74,0,0,14.4,28.66,187.7,8,15.95,168.6,0,216.5,107,92,95,408,2,DC,93,0
78,2.57,5.58,21,0,9.5,27.3,223.1,1,18.96,160.6,1,124.0,79,85,92,415,2,SC,94,0
68,3.97,7.86,24,0,14.7,29.92,277.9,7,23.62,176.0,1,174.7,116,118,71,415,1,FL,95,0
164,2.43,8.42,0,0,9.0,27.3,163.2,3,13.87,160.6,0,187.1,126,111,112,510,1,WY,96,0
16,2.21,10.42,0,0,8.2,24.62,164.9,4,14.02,144.8,0,231.5,141,84,75,510,2,NM,97,0
160,3.16,10.25,0,0,11.7,35.07,241.1,6,20.49,206.3,0,227.8,109,66,102,415,0,OH,98,0
64,1.22,6.63,48,0,4.5,16.05,136.2,4,11.58,94.4,1,147.4,101,104,89,510,0,MO,99,0
161,3.0,8.08,0,1,11.1,26.54,180.3,9,15.33,156.1,0,179.6,63,114,115,415,2,FL,100,0
87,2.97,5.99,0,1,11.0,28.44,198.5,6,16.87,167.3,0,133.1,119,119,88,510,1,NM,101,0
131,1.78,11.64,0,0,6.6,18.62,332.1,7,28.23,109.5,0,258.6,48,95,108,408,1,MO,102,0
132,2.32,10.15,39,0,8.6,29.87,187.2,3,15.91,175.7,1,225.5,94,93,118,415,2,AK,103,0
134,2.97,7.46,0,0,11.0,34.8,143.1,4,12.16,204.7,0,165.8,105,108,84,415,6,ID,104,0
127,2.51,8.28,0,0,9.3,30.99,169.9,3,14.44,182.3,0,184.0,110,124,116,408,1,AK,105,0
161,1.46,7.23,0,0,5.4,56.59,317.8,9,27.01,332.9,0,160.6,97,67,128,415,4,NY,106,1
130,2.0,7.1,30,0,7.4,31.45,249.5,7,21.21,185.0,1,157.8,141,117,103,408,0,IN,107,0
128,3.67,9.85,18,1,13.6,37.76,160.6,2,13.65,222.1,1,218.8,109,89,102,408,0,GA,108,1
151,1.16,5.38,0,0,4.3,28.93,187.5,3,15.94,170.2,0,119.5,83,89,100,415,0,WY,109,0
93,2.75,10.22,0,0,10.2,24.09,221.0,3,18.79,141.7,0,227.1,100,95,71,415,0,WV,110,0
19,2.57,7.89,0,0,9.5,44.1,269.7,3,22.92,259.4,0,175.3,109,116,130,510,1,SC,111,1
75,2.78,11.08,0,0,10.3,38.44,201.5,5,17.13,226.1,0,246.2,107,105,98,510,1,NH,112,0
118,3.0,7.14,21,1,11.1,26.61,209.2,3,17.78,156.5,1,158.7,125,122,81,408,4,ME,113,1
96,2.81,7.98,33,0,10.4,31.16,201.4,15,17.12,183.3,1,177.4,87,115,84,415,3,NM,114,0
119,4.0,7.08,0,0,14.8,21.13,207.1,1,17.6,124.3,0,157.4,88,68,93,408,0,CO,115,0
87,2.86,12.71,0,0,10.6,40.46,164.5,6,13.98,238.0,0,282.5,97,97,132,415,2,WI,116,0
115,3.19,9.79,0,1,11.8,58.7,203.4,8,17.29,345.3,0,217.5,106,81,107,510,1,OH,117,1
36,2.43,8.42,29,0,9.0,47.84,202.2,6,17.19,281.4,1,187.2,76,102,113,510,2,MI,118,0
73,2.54,6.29,0,0,9.4,32.67,168.6,6,14.33,192.2,0,139.8,116,86,87,415,1,AL,119,0
66,2.48,11.7,0,0,9.2,34.87,232.7,6,19.78,205.1,0,259.9,109,102,95,415,2,WA,120,0
129,1.59,5.03,0,1,5.9,45.46,204.2,4,17.36,267.4,0,111.7,85,78,146,415,1,FL,121,0
184,2.75,6.72,12,0,10.2,34.05,253.6,5,21.56,200.3,1,149.3,105,76,93,408,0,WI,122,0
129,3.08,9.57,0,0,11.4,24.43,297.8,8,25.31,143.7,0,212.6,98,114,86,510,4,WY,123,0
94,1.94,4.27,0,1,7.2,41.34,147.0,4,12.5,243.2,0,94.9,88,109,99,510,4,NY,124,0
94,3.51,11.55,0,0,13.0,35.04,224.6,1,19.09,206.1,0,256.7,115,49,74,415,1,CT,125,0
110,2.67,9.77,0,0,9.9,30.35,146.9,7,12.49,178.5,0,217.1,141,124,102,415,1,MO,126,0
125,2.73,8.42,0,0,10.1,40.92,269.4,3,22.9,240.7,0,187.1,85,82,74,415,0,MN,127,1
134,3.27,11.43,0,0,12.1,34.46,224.9,7,19.12,202.7,0,253.9,90,105,108,408,0,OH,128,0
109,2.21,12.06,0,0,8.2,36.89,207.0,4,17.6,217.0,0,268.0,142,115,106,408,1,FL,129,0
89,2.75,8.89,0,0,10.2,22.93,156.0,5,13.26,134.9,0,197.5,152,59,112,415,1,NV,130,0
92,2.81,9.98,0,1,10.4,10.64,180.6,2,15.35,62.6,0,221.7,126,111,80,408,1,KS,131,1
79,2.81,5.71,0,0,10.4,40.26,186.4,5,15.84,236.8,0,126.9,87,135,112,415,2,KY,132,0
78,2.13,10.02,0,0,7.9,18.46,209.9,5,17.84,108.6,0,222.6,126,108,117,408,1,MS,133,1
150,3.4,8.07,0,0,12.6,28.76,216.8,3,18.43,169.2,0,179.4,83,123,107,510,1,VA,134,0
128,1.73,7.25,0,0,6.4,17.56,245.9,7,20.9,103.3,0,161.1,123,122,95,415,0,KS,135,0
97,1.13,6.78,0,0,4.2,36.99,320.5,3,27.24,217.6,0,150.7,51,81,110,408,0,MA,136,0
136,1.86,9.64,35,0,6.9,34.94,298.5,4,25.37,205.5,1,214.2,119,86,104,415,1,VA,137,0
33,2.27,9.5,0,0,8.4,42.82,194.6,3,16.54,251.9,0,211.2,96,81,87,408,2,AR,138,0
112,3.13,11.62,0,0,11.6,28.97,200.2,4,17.02,170.4,0,258.3,71,103,100,415,1,MD,139,0
124,2.84,7.12,0,0,10.5,31.42,175.1,6,14.88,184.8,0,158.2,84,74,95,510,1,WV,140,0
3,1.65,12.88,0,0,6.1,23.63,250.7,3,21.31,139.0,0,286.2,108,99,87,408,4,HI,141,0
93,2.54,8.67,32,0,9.4,37.18,115.0,5,9.78,218.7,1,192.7,61,117,85,510,2,VT,142,0
118,3.05,10.27,0,0,11.3,23.14,204.2,4,17.36,136.1,0,228.2,103,120,90,415,1,IA,143,0
171,3.59,13.17,0,0,13.3,23.38,198.1,5,16.84,137.5,0,292.7,109,110,131,415,2,NY,144,0
49,4.21,10.79,0,0,15.6,36.35,265.1,7,22.53,213.8,0,239.8,93,79,128,415,0,OK,145,0
180,2.05,9.31,33,0,7.6,39.41,232.9,4,19.8,231.8,1,206.9,79,78,121,415,1,DC,146,0
115,2.51,6.8,0,0,9.3,23.68,192.3,3,16.35,139.3,0,151.0,95,89,75,415,7,AR,147,1
70,2.16,8.21,0,0,8.0,35.48,275.5,3,23.42,208.7,0,182.5,83,97,122,408,2,IL,148,0
107,2.97,4.68,38,0,11.0,37.3,180.5,1,15.34,219.4,1,104.1,73,92,91,510,2,OH,149,0
162,3.27,11.46,46,0,12.1,38.23,188.2,2,16.0,224.9,1,254.6,84,97,61,510,0,MN,150,0
55,2.97,6.37,45,0,11.0,22.19,208.4,5,17.71,130.5,1,141.6,94,114,114,510,4,FL,151,1
93,3.83,11.17,0,0,14.2,16.73,249.6,4,21.22,98.4,0,248.2,129,78,114,415,1,RI,152,0
78,2.73,10.83,0,0,10.1,27.59,192.4,3,16.35,162.3,0,240.6,86,116,100,408,2,NH,153,0
57,3.19,8.21,0,0,11.8,26.88,115.2,7,9.79,158.1,0,182.4,149,117,92,415,0,KS,154,0
128,2.89,6.85,0,1,10.7,41.68,101.5,5,8.63,245.2,0,152.3,101,112,116,408,0,PA,155,0
80,2.57,9.43,38,0,9.5,40.22,197.5,10,16.79,236.6,1,209.5,68,69,102,415,2,WV,156,0
160,2.51,13.84,0,0,9.3,28.36,236.0,1,20.06,166.8,0,307.6,117,109,77,408,1,MA,157,0
90,1.97,6.86,0,0,7.3,34.58,226.7,4,19.27,203.4,0,152.4,117,146,105,415,1,NV,158,0
119,3.65,11.88,0,0,13.5,23.51,170.5,6,14.49,138.3,0,263.9,78,89,98,408,3,NH,159,0
65,3.81,8.21,0,0,14.1,19.86,178.9,2,15.21,116.8,0,182.4,93,87,150,415,1,OR,160,0
113,2.3,9.62,0,0,8.5,46.26,268.5,10,22.82,272.1,0,213.8,118,111,105,415,1,VT,161,1
142,2.57,11.55,24,0,9.5,40.77,285.9,4,24.3,239.8,1,256.7,65,103,106,408,0,WI,162,0
59,2.7,5.54,0,0,10.0,28.27,239.3,3,20.34,166.3,0,123.2,87,95,108,510,2,ME,163,0
79,1.7,11.91,0,0,6.3,45.61,185.5,7,15.77,268.3,0,264.6,111,114,88,415,1,PA,164,1
103,3.11,7.72,18,0,11.5,25.48,170.9,7,14.53,149.9,1,171.5,84,84,112,415,0,CA,165,1
95,3.11,8.95,0,1,11.5,28.14,286.2,2,24.33,165.5,0,198.9,112,84,89,415,1,MO,166,1
120,1.73,10.48,0,0,6.4,25.6,119.0,2,10.12,150.6,0,232.9,128,85,123,415,1,MI,167,0
151,1.57,9.58,0,0,5.8,40.1,80.6,2,6.85,235.9,0,212.8,91,104,116,510,3,WY,168,0
101,2.73,10.88,29,0,10.1,20.59,186.4,6,15.84,121.1,1,241.7,100,116,75,415,0,MO,169,0
64,0.95,11.94,0,0,3.5,26.18,225.8,3,19.19,154.0,0,265.3,118,67,86,510,1,WI,170,0
37,3.97,10.63,0,0,14.7,22.93,248.4,2,21.11,134.9,0,236.2,130,98,113,408,3,CT,171,0
84,2.54,5.32,0,0,9.4,36.91,236.0,4,20.06,217.1,0,118.3,68,99,120,408,1,IN,172,0
98,3.38,7.75,0,0,12.5,28.05,202.6,7,17.22,165.0,0,172.3,113,129,94,408,1,OH,173,1
105,3.08,12.35,27,0,11.4,24.0,167.7,2,14.25,141.2,1,274.4,94,96,101,415,1,NE,174,0
125,3.89,9.28,0,0,14.4,21.54,155.5,7,13.22,126.7,0,206.2,131,113,112,415,2,VT,175,0
100,2.54,5.72,0,0,9.4,35.85,329.3,5,27.99,210.9,0,127.1,69,85,78,408,4,IA,176,0
106,1.62,7.24,0,0,6.0,46.65,198.6,3,16.88,274.4,0,160.8,82,120,62,510,1,ID,177,0
66,2.84,8.17,0,0,10.5,19.79,95.6,3,8.13,116.4,0,181.5,74,98,94,415,3,MA,178,0
105,3.56,8.57,29,1,13.2,37.52,217.7,6,18.5,220.7,1,190.5,110,82,100,415,1,NV,179,1
34,2.67,8.4,0,0,9.9,25.67,131.4,7,11.17,151.0,0,186.6,101,102,86,415,0,VA,180,0
120,1.86,8.64,28,0,6.9,36.69,285.2,3,24.24,215.8,1,192.1,76,123,78,408,1,WA,181,0
86,2.27,10.2,29,0,8.4,26.72,196.3,5,16.69,157.2,1,226.7,136,118,109,510,3,NE,182,0
121,1.57,8.15,30,0,5.8,33.73,75.3,3,6.4,198.4,1,181.2,77,129,77,408,3,CO,183,1
48,3.56,9.26,0,0,13.2,32.03,165.9,2,14.1,188.4,0,205.7,89,63,71,510,1,VT,184,0
94,2.27,15.85,0,0,8.4,36.06,189.4,5,16.1,212.1,0,352.2,89,98,95,415,3,LA,185,0
134,1.94,9.0,0,0,7.2,41.5,246.9,2,20.99,244.1,0,200.0,111,99,133,415,0,MN,186,0
149,3.05,9.02,20,0,11.3,44.95,219.6,3,18.67,264.4,1,200.4,123,102,89,415,2,AL,187,0
127,3.13,9.97,14,0,11.6,24.34,169.9,1,14.44,143.2,1,221.6,91,99,77,415,1,AZ,188,0
164,3.56,9.28,30,0,13.2,40.6,230.0,8,19.55,238.8,1,206.3,121,100,66,510,1,KS,189,0
43,3.05,8.13,0,0,11.3,33.98,288.4,7,24.51,199.9,0,180.6,80,108,103,415,1,WV,190,0
102,2.75,8.47,25,0,10.2,23.36,176.7,6,15.02,137.4,1,188.2,83,100,93,415,2,CT,191,0
124,4.13,7.78,0,0,15.3,32.81,89.8,3,7.63,193.0,0,172.8,99,97,104,510,1,OH,192,0
107,3.27,11.22,0,0,12.1,37.79,286.0,4,24.31,222.3,0,249.4,111,101,117,415,1,NM,193,1
60,1.84,11.21,0,0,6.8,37.5,211.1,3,17.94,220.6,0,249.0,115,57,129,408,1,IN,194,0
36,2.27,12.41,0,0,8.4,43.08,182.4,2,15.5,253.4,0,275.8,151,77,103,415,1,IN,195,0
96,2.78,9.72,37,0,10.3,29.36,120.1,5,10.21,172.7,1,216.1,116,93,86,415,5,CT,196,1
86,3.29,6.23,0,0,12.2,21.81,197.1,5,16.75,128.3,0,138.4,93,121,152,415,7,AL,197,1
101,2.05,7.76,0,0,7.6,35.63,228.8,2,19.45,209.6,0,172.4,96,107,85,408,3,OK,198,0
24,2.32,10.74,0,0,8.6,25.33,131.0,3,11.14,149.0,0,238.6,81,73,69,408,2,DC,199,1
109,2.67,10.93,0,0,9.9,31.3,211.7,2,17.99,184.1,0,243.0,105,143,116,415,1,ID,200,0
75,3.0,9.7,0,0,11.1,23.55,153.2,7,13.02,138.5,0,215.6,86,110,103,415,1,IA,201,0
182,2.62,10.56,0,0,9.7,29.94,174.9,4,14.87,176.1,0,234.7,106,90,134,415,1,VA,202,0
141,2.16,6.34,0,0,8.0,21.57,180.0,2,15.3,126.9,0,140.8,62,98,128,415,1,CO,203,0
133,1.81,5.79,39,0,6.7,40.78,253.8,3,21.57,239.9,1,128.7,77,107,85,408,5,VA,204,0
174,2.7,10.13,0,0,10.0,23.7,143.4,5,12.19,139.4,0,225.2,108,96,107,408,2,NH,205,0
155,3.0,6.6,26,1,11.1,35.99,139.2,3,11.83,211.7,1,146.7,123,121,89,415,1,HI,206,0
35,1.57,5.91,0,0,5.8,44.34,258.1,2,21.94,260.8,0,131.3,78,87,123,415,1,ND,207,0
111,2.84,9.62,0,0,10.5,30.07,102.8,2,8.74,176.9,0,213.7,56,128,84,510,4,NJ,208,1
63,2.67,7.22,0,0,9.9,22.59,67.0,2,5.7,132.9,0,160.4,62,122,121,510,3,WV,209,0
16,1.73,8.57,0,1,6.4,18.7,147.3,7,12.52,110.0,0,190.5,75,91,73,415,0,IL,210,0
107,1.51,11.77,31,0,5.6,27.25,221.5,1,18.83,160.3,1,261.6,70,45,109,510,1,WY,211,0
100,3.38,8.88,0,0,12.5,34.65,283.1,3,24.06,203.8,0,197.3,76,122,83,415,0,NJ,212,0
102,2.3,12.17,0,0,8.5,29.67,236.8,5,20.13,174.5,0,270.4,136,79,110,510,0,VA,213,0
152,2.57,10.22,0,0,9.5,23.89,186.8,5,15.88,140.5,0,227.0,96,92,89,408,2,SC,214,0
117,3.97,9.18,0,0,14.7,30.86,205.1,9,17.43,181.5,0,204.0,88,95,82,415,2,AK,215,0
177,3.11,8.07,0,0,11.5,29.82,155.3,3,13.2,175.4,0,179.4,83,99,86,408,1,OK,216,0
121,3.08,8.88,35,0,11.4,11.68,209.2,4,17.78,68.7,1,197.4,69,95,42,408,1,AL,217,0
164,3.86,2.25,25,0,14.3,37.25,151.5,6,12.88,219.1,1,50.1,99,88,60,408,1,MO,218,0
85,2.24,9.45,0,1,8.3,33.52,211.7,4,17.99,197.2,0,210.1,115,97,133,415,4,RI,219,0
32,3.51,9.31,31,0,13.0,39.58,183.5,2,15.6,232.8,1,206.8,111,97,111,415,0,OH,220,0
92,2.94,7.69,0,0,10.9,30.84,164.5,4,13.98,181.4,0,171.0,98,98,110,415,2,NE,221,0
78,2.97,9.26,0,0,11.0,14.79,193.6,5,16.46,87.0,0,205.8,64,102,120,408,0,WI,222,0
155,3.62,9.62,23,0,13.4,41.46,133.0,11,11.31,243.9,1,213.7,106,112,123,415,2,OK,223,0
61,3.16,11.29,29,1,11.7,21.79,171.7,6,14.59,128.2,1,250.9,83,119,114,415,3,UT,224,0
62,2.3,10.28,0,0,8.5,41.7,122.9,4,10.45,245.3,0,228.4,130,91,102,415,4,NM,225,0
99,3.35,10.35,0,0,12.4,23.92,210.9,4,17.93,140.7,0,229.9,98,88,125,415,2,DE,226,0
89,2.57,6.56,0,0,9.5,15.25,179.8,4,15.28,89.7,0,145.7,81,80,120,415,2,UT,227,0
118,3.89,9.39,0,0,14.4,45.53,316.4,11,26.89,267.8,0,208.6,121,145,91,415,5,AR,228,1
86,1.46,10.26,0,0,5.4,28.25,255.3,7,21.7,166.2,0,228.1,81,112,97,415,1,IN,229,0
166,3.02,6.22,0,0,11.2,33.64,251.0,2,21.34,197.9,0,138.3,113,89,85,510,2,ND,230,0
163,2.38,13.23,23,0,8.8,38.08,233.5,4,19.85,224.0,1,293.9,89,126,104,408,1,LA,231,0
51,1.89,14.03,0,0,7.0,31.13,160.1,3,13.61,183.1,0,311.8,107,99,121,415,1,MA,232,0
